pm25,datetime
22.2,2023-09-08 00:00:00+00:00
21.9,2023-09-08 01:00:00+00:00
22.6,2023-09-08 02:00:00+00:00
21.6,2023-09-08 03:00:00+00:00
19.8,2023-09-08 04:00:00+00:00
17.4,2023-09-08 05:00:00+00:00
16.7,2023-09-08 06:00:00+00:00
18.0,2023-09-08 07:00:00+00:00
20.1,2023-09-08 08:00:00+00:00
21.2,2023-09-08 09:00:00+00:00
18.3,2023-09-08 10:00:00+00:00
14.6,2023-09-08 11:00:00+00:00
12.2,2023-09-08 12:00:00+00:00
10.7,2023-09-08 13:00:00+00:00
8.9,2023-09-08 14:00:00+00:00
9.0,2023-09-08 15:00:00+00:00
8.8,2023-09-08 16:00:00+00:00
9.4,2023-09-08 17:00:00+00:00
13.9,2023-09-08 18:00:00+00:00
27.2,2023-09-08 19:00:00+00:00
33.6,2023-09-08 20:00:00+00:00
31.4,2023-09-08 21:00:00+00:00
36.8,2023-09-08 22:00:00+00:00
46.3,2023-09-08 23:00:00+00:00
55.6,2023-09-09 00:00:00+00:00
87.5,2023-09-09 01:00:00+00:00
71.3,2023-09-09 02:00:00+00:00
67.8,2023-09-09 03:00:00+00:00
42.0,2023-09-09 04:00:00+00:00
40.9,2023-09-09 05:00:00+00:00
25.7,2023-09-09 06:00:00+00:00
19.9,2023-09-09 07:00:00+00:00
27.4,2023-09-09 08:00:00+00:00
32.4,2023-09-09 09:00:00+00:00
24.4,2023-09-09 10:00:00+00:00
19.1,2023-09-09 11:00:00+00:00
19.0,2023-09-09 12:00:00+00:00
18.3,2023-09-09 13:00:00+00:00
17.7,2023-09-09 14:00:00+00:00
17.3,2023-09-09 15:00:00+00:00
16.8,2023-09-09 16:00:00+00:00
17.6,2023-09-09 17:00:00+00:00
17.4,2023-09-09 18:00:00+00:00
21.1,2023-09-09 19:00:00+00:00
23.2,2023-09-09 20:00:00+00:00
24.6,2023-09-09 21:00:00+00:00
28.4,2023-09-09 22:00:00+00:00
31.4,2023-09-09 23:00:00+00:00
