pm25,datetime
2.2,2023-12-31 00:00:00+00:00
3.36,2023-12-31 01:00:00+00:00
3.49,2023-12-31 02:00:00+00:00
2.54,2023-12-31 03:00:00+00:00
3.13,2023-12-31 04:00:00+00:00
0.99,2023-12-31 05:00:00+00:00
-2.18,2023-12-31 06:00:00+00:00
-2.7,2023-12-31 07:00:00+00:00
13.41,2023-12-31 08:00:00+00:00
6.4,2023-12-31 09:00:00+00:00
-0.71,2023-12-31 10:00:00+00:00
0.74,2023-12-31 11:00:00+00:00
0.0,2023-12-31 12:00:00+00:00
-0.68,2023-12-31 13:00:00+00:00
5.65,2023-12-31 14:00:00+00:00
3.84,2023-12-31 15:00:00+00:00
1.74,2023-12-31 16:00:00+00:00
11.97,2023-12-31 17:00:00+00:00
8.85,2023-12-31 18:00:00+00:00
5.12,2023-12-31 19:00:00+00:00
20.95,2023-12-31 20:00:00+00:00
2.07,2023-12-31 21:00:00+00:00
8.48,2023-12-31 22:00:00+00:00
13.08,2023-12-31 23:00:00+00:00
198.33,2024-01-01 00:00:00+00:00
87.4,2024-01-01 01:00:00+00:00
6.75,2024-01-01 02:00:00+00:00
4.93,2024-01-01 03:00:00+00:00
2.52,2024-01-01 04:00:00+00:00
0.63,2024-01-01 05:00:00+00:00
1.57,2024-01-01 06:00:00+00:00
2.76,2024-01-01 07:00:00+00:00
4.75,2024-01-01 08:00:00+00:00
4.91,2024-01-01 09:00:00+00:00
1.91,2024-01-01 10:00:00+00:00
3.06,2024-01-01 11:00:00+00:00
7.42,2024-01-01 12:00:00+00:00
12.31,2024-01-01 13:00:00+00:00
7.23,2024-01-01 14:00:00+00:00
9.07,2024-01-01 15:00:00+00:00
7.33,2024-01-01 16:00:00+00:00
5.84,2024-01-01 17:00:00+00:00
10.19,2024-01-01 18:00:00+00:00
7.98,2024-01-01 19:00:00+00:00
7.39,2024-01-01 20:00:00+00:00
6.25,2024-01-01 21:00:00+00:00
9.05,2024-01-01 22:00:00+00:00
10.36,2024-01-01 23:00:00+00:00
