pm25,datetime
20.32,2023-09-08 00:00:00+00:00
7.4,2023-09-08 01:00:00+00:00
12.32,2023-09-08 02:00:00+00:00
14.4,2023-09-08 03:00:00+00:00
13.56,2023-09-08 04:00:00+00:00
15.95,2023-09-08 05:00:00+00:00
13.52,2023-09-08 06:00:00+00:00
21.07,2023-09-08 07:00:00+00:00
23.32,2023-09-08 08:00:00+00:00
25.54,2023-09-08 09:00:00+00:00
22.33,2023-09-08 10:00:00+00:00
28.76,2023-09-08 11:00:00+00:00
22.8,2023-09-08 12:00:00+00:00
16.13,2023-09-08 13:00:00+00:00
16.81,2023-09-08 14:00:00+00:00
7.12,2023-09-08 15:00:00+00:00
10.48,2023-09-08 16:00:00+00:00
14.97,2023-09-08 17:00:00+00:00
6.65,2023-09-08 18:00:00+00:00
4.54,2023-09-08 19:00:00+00:00
6.44,2023-09-08 20:00:00+00:00
31.22,2023-09-08 21:00:00+00:00
17.77,2023-09-08 22:00:00+00:00
17.08,2023-09-08 23:00:00+00:00
2.62,2023-09-09 00:00:00+00:00
33.45,2023-09-09 01:00:00+00:00
29.26,2023-09-09 02:00:00+00:00
29.51,2023-09-09 03:00:00+00:00
26.73,2023-09-09 04:00:00+00:00
17.39,2023-09-09 05:00:00+00:00
20.09,2023-09-09 06:00:00+00:00
19.35,2023-09-09 07:00:00+00:00
27.12,2023-09-09 08:00:00+00:00
17.69,2023-09-09 10:00:00+00:00
22.16,2023-09-09 11:00:00+00:00
16.61,2023-09-09 12:00:00+00:00
13.39,2023-09-09 13:00:00+00:00
15.57,2023-09-09 14:00:00+00:00
12.19,2023-09-09 15:00:00+00:00
11.54,2023-09-09 16:00:00+00:00
12.0,2023-09-09 17:00:00+00:00
13.55,2023-09-09 18:00:00+00:00
12.05,2023-09-09 19:00:00+00:00
18.54,2023-09-09 20:00:00+00:00
26.08,2023-09-09 21:00:00+00:00
21.79,2023-09-09 22:00:00+00:00
15.87,2023-09-09 23:00:00+00:00
