pm25,datetime
15.0,2023-09-08 00:00:00+00:00
19.0,2023-09-08 01:00:00+00:00
8.0,2023-09-08 02:00:00+00:00
11.0,2023-09-08 03:00:00+00:00
13.0,2023-09-08 04:00:00+00:00
9.0,2023-09-08 05:00:00+00:00
8.0,2023-09-08 06:00:00+00:00
10.0,2023-09-08 07:00:00+00:00
10.0,2023-09-08 08:00:00+00:00
13.0,2023-09-08 09:00:00+00:00
17.0,2023-09-08 10:00:00+00:00
8.0,2023-09-08 11:00:00+00:00
9.0,2023-09-08 12:00:00+00:00
10.0,2023-09-08 13:00:00+00:00
10.0,2023-09-08 14:00:00+00:00
6.0,2023-09-08 15:00:00+00:00
7.0,2023-09-08 16:00:00+00:00
11.0,2023-09-08 17:00:00+00:00
17.0,2023-09-08 18:00:00+00:00
38.0,2023-09-08 19:00:00+00:00
63.0,2023-09-08 20:00:00+00:00
69.0,2023-09-08 21:00:00+00:00
71.0,2023-09-08 22:00:00+00:00
66.0,2023-09-08 23:00:00+00:00
49.0,2023-09-09 00:00:00+00:00
59.0,2023-09-09 01:00:00+00:00
64.0,2023-09-09 02:00:00+00:00
36.0,2023-09-09 03:00:00+00:00
17.0,2023-09-09 04:00:00+00:00
15.0,2023-09-09 05:00:00+00:00
12.0,2023-09-09 06:00:00+00:00
19.0,2023-09-09 07:00:00+00:00
17.0,2023-09-09 08:00:00+00:00
26.0,2023-09-09 09:00:00+00:00
17.0,2023-09-09 10:00:00+00:00
11.0,2023-09-09 11:00:00+00:00
11.0,2023-09-09 12:00:00+00:00
9.0,2023-09-09 13:00:00+00:00
15.0,2023-09-09 14:00:00+00:00
10.0,2023-09-09 15:00:00+00:00
10.0,2023-09-09 16:00:00+00:00
15.0,2023-09-09 17:00:00+00:00
12.0,2023-09-09 18:00:00+00:00
13.0,2023-09-09 19:00:00+00:00
13.0,2023-09-09 20:00:00+00:00
17.0,2023-09-09 21:00:00+00:00
12.0,2023-09-09 22:00:00+00:00
15.0,2023-09-09 23:00:00+00:00
