pm25,datetime
4.28,2023-12-31 00:00:00+00:00
2.68,2023-12-31 01:00:00+00:00
-0.08,2023-12-31 02:00:00+00:00
0.6,2023-12-31 03:00:00+00:00
2.88,2023-12-31 04:00:00+00:00
1.5,2023-12-31 05:00:00+00:00
-2.38,2023-12-31 06:00:00+00:00
-0.04,2023-12-31 07:00:00+00:00
1.62,2023-12-31 08:00:00+00:00
2.2,2023-12-31 09:00:00+00:00
2.68,2023-12-31 10:00:00+00:00
-0.43,2023-12-31 11:00:00+00:00
-0.61,2023-12-31 12:00:00+00:00
-0.25,2023-12-31 13:00:00+00:00
-1.63,2023-12-31 14:00:00+00:00
1.2,2023-12-31 15:00:00+00:00
4.16,2023-12-31 16:00:00+00:00
1.73,2023-12-31 17:00:00+00:00
1.88,2023-12-31 18:00:00+00:00
7.92,2023-12-31 19:00:00+00:00
11.1,2023-12-31 20:00:00+00:00
8.55,2023-12-31 21:00:00+00:00
8.99,2023-12-31 22:00:00+00:00
12.97,2023-12-31 23:00:00+00:00
23.76,2024-01-01 00:00:00+00:00
76.34,2024-01-01 01:00:00+00:00
51.27,2024-01-01 02:00:00+00:00
19.19,2024-01-01 03:00:00+00:00
7.34,2024-01-01 04:00:00+00:00
6.73,2024-01-01 05:00:00+00:00
4.2,2024-01-01 06:00:00+00:00
8.11,2024-01-01 07:00:00+00:00
6.7,2024-01-01 08:00:00+00:00
5.82,2024-01-01 09:00:00+00:00
3.97,2024-01-01 10:00:00+00:00
3.14,2024-01-01 11:00:00+00:00
3.22,2024-01-01 12:00:00+00:00
4.79,2024-01-01 13:00:00+00:00
3.13,2024-01-01 14:00:00+00:00
1.14,2024-01-01 15:00:00+00:00
3.05,2024-01-01 16:00:00+00:00
2.42,2024-01-01 17:00:00+00:00
2.1,2024-01-01 18:00:00+00:00
4.32,2024-01-01 19:00:00+00:00
3.58,2024-01-01 20:00:00+00:00
5.63,2024-01-01 21:00:00+00:00
7.53,2024-01-01 22:00:00+00:00
7.57,2024-01-01 23:00:00+00:00
