pm25,datetime
9.46,2023-09-08 00:00:00+00:00
8.12,2023-09-08 01:00:00+00:00
12.28,2023-09-08 02:00:00+00:00
8.9,2023-09-08 03:00:00+00:00
9.89,2023-09-08 04:00:00+00:00
8.55,2023-09-08 05:00:00+00:00
15.11,2023-09-08 06:00:00+00:00
13.39,2023-09-08 07:00:00+00:00
12.05,2023-09-08 08:00:00+00:00
11.57,2023-09-08 09:00:00+00:00
6.81,2023-09-08 10:00:00+00:00
13.71,2023-09-08 11:00:00+00:00
4.99,2023-09-08 12:00:00+00:00
2.9,2023-09-08 13:00:00+00:00
6.1,2023-09-08 14:00:00+00:00
4.83,2023-09-08 16:00:00+00:00
4.95,2023-09-08 17:00:00+00:00
10.97,2023-09-08 18:00:00+00:00
9.71,2023-09-08 19:00:00+00:00
12.24,2023-09-08 20:00:00+00:00
74.28,2023-09-08 21:00:00+00:00
45.47,2023-09-08 22:00:00+00:00
84.59,2023-09-08 23:00:00+00:00
19.9,2023-09-09 00:00:00+00:00
20.36,2023-09-09 01:00:00+00:00
14.18,2023-09-09 02:00:00+00:00
13.52,2023-09-09 03:00:00+00:00
19.24,2023-09-09 04:00:00+00:00
20.22,2023-09-09 05:00:00+00:00
18.7,2023-09-09 06:00:00+00:00
15.85,2023-09-09 07:00:00+00:00
23.38,2023-09-09 08:00:00+00:00
18.59,2023-09-09 09:00:00+00:00
18.61,2023-09-09 10:00:00+00:00
20.95,2023-09-09 12:00:00+00:00
13.65,2023-09-09 13:00:00+00:00
12.86,2023-09-09 14:00:00+00:00
10.27,2023-09-09 15:00:00+00:00
12.65,2023-09-09 16:00:00+00:00
11.66,2023-09-09 17:00:00+00:00
13.71,2023-09-09 18:00:00+00:00
13.89,2023-09-09 19:00:00+00:00
25.4,2023-09-09 20:00:00+00:00
27.91,2023-09-09 21:00:00+00:00
30.48,2023-09-09 22:00:00+00:00
29.66,2023-09-09 23:00:00+00:00
