pm25,datetime
2.52,2023-12-31 00:00:00+00:00
-1.95,2023-12-31 01:00:00+00:00
-3.92,2023-12-31 02:00:00+00:00
-1.73,2023-12-31 03:00:00+00:00
0.22,2023-12-31 04:00:00+00:00
0.12,2023-12-31 05:00:00+00:00
-1.12,2023-12-31 06:00:00+00:00
-1.54,2023-12-31 07:00:00+00:00
-2.91,2023-12-31 08:00:00+00:00
-1.36,2023-12-31 09:00:00+00:00
2.68,2023-12-31 10:00:00+00:00
3.17,2023-12-31 11:00:00+00:00
0.49,2023-12-31 12:00:00+00:00
4.03,2023-12-31 13:00:00+00:00
5.3,2023-12-31 14:00:00+00:00
14.53,2023-12-31 15:00:00+00:00
23.68,2023-12-31 16:00:00+00:00
54.3,2023-12-31 17:00:00+00:00
48.97,2023-12-31 18:00:00+00:00
61.62,2023-12-31 19:00:00+00:00
52.82,2023-12-31 20:00:00+00:00
52.3,2023-12-31 21:00:00+00:00
47.96,2023-12-31 22:00:00+00:00
67.46,2023-12-31 23:00:00+00:00
100.72,2024-01-01 02:00:00+00:00
4.88,2024-01-01 03:00:00+00:00
4.46,2024-01-01 04:00:00+00:00
3.07,2024-01-01 05:00:00+00:00
1.94,2024-01-01 08:00:00+00:00
-0.71,2024-01-01 09:00:00+00:00
0.22,2024-01-01 10:00:00+00:00
2.48,2024-01-01 11:00:00+00:00
0.32,2024-01-01 12:00:00+00:00
0.03,2024-01-01 13:00:00+00:00
-1.27,2024-01-01 14:00:00+00:00
-0.92,2024-01-01 15:00:00+00:00
3.75,2024-01-01 16:00:00+00:00
6.3,2024-01-01 17:00:00+00:00
8.47,2024-01-01 18:00:00+00:00
7.19,2024-01-01 19:00:00+00:00
7.14,2024-01-01 20:00:00+00:00
5.32,2024-01-01 21:00:00+00:00
3.71,2024-01-01 22:00:00+00:00
4.23,2024-01-01 23:00:00+00:00
