pm25,datetime
16.9,2023-09-08 00:00:00+00:00
17.6,2023-09-08 01:00:00+00:00
18.5,2023-09-08 02:00:00+00:00
17.7,2023-09-08 03:00:00+00:00
17.5,2023-09-08 04:00:00+00:00
17.6,2023-09-08 05:00:00+00:00
18.9,2023-09-08 06:00:00+00:00
21.3,2023-09-08 07:00:00+00:00
22.9,2023-09-08 08:00:00+00:00
20.9,2023-09-08 09:00:00+00:00
18.9,2023-09-08 10:00:00+00:00
18.2,2023-09-08 11:00:00+00:00
11.9,2023-09-08 12:00:00+00:00
9.1,2023-09-08 13:00:00+00:00
9.0,2023-09-08 14:00:00+00:00
9.2,2023-09-08 15:00:00+00:00
9.4,2023-09-08 16:00:00+00:00
21.7,2023-09-08 17:00:00+00:00
24.4,2023-09-08 18:00:00+00:00
23.5,2023-09-08 19:00:00+00:00
46.7,2023-09-08 20:00:00+00:00
90.5,2023-09-08 21:00:00+00:00
116.3,2023-09-08 22:00:00+00:00
108.7,2023-09-08 23:00:00+00:00
103.2,2023-09-09 00:00:00+00:00
96.9,2023-09-09 01:00:00+00:00
87.1,2023-09-09 02:00:00+00:00
83.1,2023-09-09 03:00:00+00:00
85.5,2023-09-09 04:00:00+00:00
87.9,2023-09-09 05:00:00+00:00
87.4,2023-09-09 06:00:00+00:00
81.3,2023-09-09 07:00:00+00:00
71.0,2023-09-09 08:00:00+00:00
38.5,2023-09-09 09:00:00+00:00
17.7,2023-09-09 10:00:00+00:00
16.0,2023-09-09 11:00:00+00:00
15.1,2023-09-09 12:00:00+00:00
15.5,2023-09-09 13:00:00+00:00
18.2,2023-09-09 14:00:00+00:00
20.0,2023-09-09 15:00:00+00:00
18.6,2023-09-09 16:00:00+00:00
18.3,2023-09-09 17:00:00+00:00
17.9,2023-09-09 18:00:00+00:00
19.8,2023-09-09 19:00:00+00:00
21.3,2023-09-09 20:00:00+00:00
23.4,2023-09-09 21:00:00+00:00
24.3,2023-09-09 22:00:00+00:00
24.8,2023-09-09 23:00:00+00:00
