pm25,datetime
1.2,2023-12-31 00:00:00+00:00
0.77,2023-12-31 01:00:00+00:00
1.14,2023-12-31 02:00:00+00:00
4.76,2023-12-31 03:00:00+00:00
3.33,2023-12-31 04:00:00+00:00
1.38,2023-12-31 05:00:00+00:00
1.88,2023-12-31 06:00:00+00:00
1.64,2023-12-31 07:00:00+00:00
0.65,2023-12-31 08:00:00+00:00
1.33,2023-12-31 09:00:00+00:00
3.07,2023-12-31 10:00:00+00:00
1.6,2023-12-31 11:00:00+00:00
-0.27,2023-12-31 12:00:00+00:00
2.08,2023-12-31 13:00:00+00:00
7.89,2023-12-31 14:00:00+00:00
6.68,2023-12-31 15:00:00+00:00
12.44,2023-12-31 16:00:00+00:00
11.55,2023-12-31 17:00:00+00:00
27.0,2023-12-31 18:00:00+00:00
25.68,2023-12-31 19:00:00+00:00
37.06,2023-12-31 20:00:00+00:00
41.84,2023-12-31 21:00:00+00:00
54.58,2023-12-31 22:00:00+00:00
62.98,2023-12-31 23:00:00+00:00
350.72,2024-01-01 00:00:00+00:00
85.86,2024-01-01 01:00:00+00:00
30.74,2024-01-01 02:00:00+00:00
16.17,2024-01-01 03:00:00+00:00
4.51,2024-01-01 04:00:00+00:00
3.94,2024-01-01 05:00:00+00:00
3.21,2024-01-01 06:00:00+00:00
0.75,2024-01-01 07:00:00+00:00
7.37,2024-01-01 08:00:00+00:00
4.64,2024-01-01 09:00:00+00:00
6.18,2024-01-01 10:00:00+00:00
8.46,2024-01-01 11:00:00+00:00
9.42,2024-01-01 12:00:00+00:00
11.12,2024-01-01 13:00:00+00:00
7.04,2024-01-01 14:00:00+00:00
6.92,2024-01-01 15:00:00+00:00
9.73,2024-01-01 16:00:00+00:00
9.22,2024-01-01 17:00:00+00:00
14.81,2024-01-01 18:00:00+00:00
11.93,2024-01-01 19:00:00+00:00
9.04,2024-01-01 20:00:00+00:00
4.98,2024-01-01 21:00:00+00:00
6.73,2024-01-01 22:00:00+00:00
8.98,2024-01-01 23:00:00+00:00
