pm25,datetime
6.32,2023-12-31 00:00:00+00:00
4.37,2023-12-31 01:00:00+00:00
3.34,2023-12-31 02:00:00+00:00
1.86,2023-12-31 03:00:00+00:00
-1.66,2023-12-31 04:00:00+00:00
-4.67,2023-12-31 05:00:00+00:00
-4.49,2023-12-31 06:00:00+00:00
-1.42,2023-12-31 07:00:00+00:00
-2.73,2023-12-31 08:00:00+00:00
0.52,2023-12-31 09:00:00+00:00
1.42,2023-12-31 10:00:00+00:00
0.95,2023-12-31 11:00:00+00:00
2.38,2023-12-31 12:00:00+00:00
3.39,2023-12-31 13:00:00+00:00
3.06,2023-12-31 14:00:00+00:00
3.37,2023-12-31 15:00:00+00:00
5.91,2023-12-31 16:00:00+00:00
4.14,2023-12-31 17:00:00+00:00
6.49,2023-12-31 18:00:00+00:00
12.28,2023-12-31 19:00:00+00:00
11.88,2023-12-31 20:00:00+00:00
10.49,2023-12-31 21:00:00+00:00
10.95,2023-12-31 22:00:00+00:00
9.48,2023-12-31 23:00:00+00:00
129.04,2024-01-01 00:00:00+00:00
75.88,2024-01-01 01:00:00+00:00
21.76,2024-01-01 02:00:00+00:00
15.4,2024-01-01 03:00:00+00:00
1.05,2024-01-01 04:00:00+00:00
4.45,2024-01-01 05:00:00+00:00
5.5,2024-01-01 06:00:00+00:00
2.91,2024-01-01 07:00:00+00:00
0.07,2024-01-01 08:00:00+00:00
-1.81,2024-01-01 09:00:00+00:00
-0.92,2024-01-01 10:00:00+00:00
0.25,2024-01-01 11:00:00+00:00
0.52,2024-01-01 12:00:00+00:00
0.99,2024-01-01 13:00:00+00:00
4.57,2024-01-01 14:00:00+00:00
3.64,2024-01-01 15:00:00+00:00
3.31,2024-01-01 16:00:00+00:00
7.5,2024-01-01 17:00:00+00:00
6.52,2024-01-01 18:00:00+00:00
7.93,2024-01-01 19:00:00+00:00
5.57,2024-01-01 20:00:00+00:00
4.2,2024-01-01 21:00:00+00:00
5.53,2024-01-01 22:00:00+00:00
6.39,2024-01-01 23:00:00+00:00
