pm25,datetime
9.92,2023-12-31 00:00:00+00:00
8.08,2023-12-31 01:00:00+00:00
5.56,2023-12-31 02:00:00+00:00
5.01,2023-12-31 03:00:00+00:00
4.75,2023-12-31 04:00:00+00:00
5.61,2023-12-31 05:00:00+00:00
6.62,2023-12-31 06:00:00+00:00
9.18,2023-12-31 07:00:00+00:00
8.53,2023-12-31 08:00:00+00:00
9.81,2023-12-31 09:00:00+00:00
9.54,2023-12-31 10:00:00+00:00
9.51,2023-12-31 11:00:00+00:00
10.43,2023-12-31 12:00:00+00:00
8.01,2023-12-31 13:00:00+00:00
8.66,2023-12-31 14:00:00+00:00
6.44,2023-12-31 15:00:00+00:00
8.89,2023-12-31 16:00:00+00:00
12.87,2023-12-31 17:00:00+00:00
10.8,2023-12-31 18:00:00+00:00
13.26,2023-12-31 19:00:00+00:00
9.69,2023-12-31 20:00:00+00:00
10.34,2023-12-31 21:00:00+00:00
8.26,2023-12-31 22:00:00+00:00
11.22,2023-12-31 23:00:00+00:00
34.52,2024-01-01 00:00:00+00:00
13.59,2024-01-01 01:00:00+00:00
10.17,2024-01-01 02:00:00+00:00
11.88,2024-01-01 03:00:00+00:00
9.23,2024-01-01 04:00:00+00:00
10.35,2024-01-01 05:00:00+00:00
7.61,2024-01-01 06:00:00+00:00
10.38,2024-01-01 07:00:00+00:00
7.64,2024-01-01 08:00:00+00:00
5.79,2024-01-01 09:00:00+00:00
14.15,2024-01-01 10:00:00+00:00
10.93,2024-01-01 11:00:00+00:00
9.55,2024-01-01 12:00:00+00:00
10.81,2024-01-01 13:00:00+00:00
14.36,2024-01-01 14:00:00+00:00
14.38,2024-01-01 15:00:00+00:00
17.04,2024-01-01 16:00:00+00:00
7.0,2024-01-01 17:00:00+00:00
13.13,2024-01-01 18:00:00+00:00
16.02,2024-01-01 19:00:00+00:00
12.39,2024-01-01 20:00:00+00:00
13.66,2024-01-01 21:00:00+00:00
10.66,2024-01-01 22:00:00+00:00
9.93,2024-01-01 23:00:00+00:00
