pm25,datetime
11.8,2023-09-08 00:00:00+00:00
10.9,2023-09-08 01:00:00+00:00
17.3,2023-09-08 02:00:00+00:00
13.1,2023-09-08 03:00:00+00:00
14.3,2023-09-08 04:00:00+00:00
22.4,2023-09-08 05:00:00+00:00
23.7,2023-09-08 06:00:00+00:00
23.1,2023-09-08 07:00:00+00:00
25.5,2023-09-08 08:00:00+00:00
26.9,2023-09-08 09:00:00+00:00
29.7,2023-09-08 10:00:00+00:00
23.8,2023-09-08 11:00:00+00:00
26.4,2023-09-08 12:00:00+00:00
25.1,2023-09-08 13:00:00+00:00
17.2,2023-09-08 14:00:00+00:00
13.3,2023-09-08 15:00:00+00:00
10.3,2023-09-08 16:00:00+00:00
11.1,2023-09-08 17:00:00+00:00
14.3,2023-09-08 18:00:00+00:00
34.4,2023-09-08 19:00:00+00:00
64.2,2023-09-08 20:00:00+00:00
59.4,2023-09-08 21:00:00+00:00
70.1,2023-09-08 22:00:00+00:00
73.3,2023-09-08 23:00:00+00:00
77.4,2023-09-09 00:00:00+00:00
65.8,2023-09-09 01:00:00+00:00
59.9,2023-09-09 02:00:00+00:00
58.9,2023-09-09 03:00:00+00:00
61.4,2023-09-09 04:00:00+00:00
57.8,2023-09-09 05:00:00+00:00
60.4,2023-09-09 06:00:00+00:00
65.6,2023-09-09 07:00:00+00:00
41.9,2023-09-09 08:00:00+00:00
17.1,2023-09-09 09:00:00+00:00
22.4,2023-09-09 10:00:00+00:00
12.8,2023-09-09 11:00:00+00:00
13.4,2023-09-09 12:00:00+00:00
13.7,2023-09-09 13:00:00+00:00
13.0,2023-09-09 14:00:00+00:00
16.7,2023-09-09 15:00:00+00:00
16.9,2023-09-09 16:00:00+00:00
13.2,2023-09-09 17:00:00+00:00
11.3,2023-09-09 18:00:00+00:00
8.6,2023-09-09 19:00:00+00:00
25.3,2023-09-09 20:00:00+00:00
33.8,2023-09-09 21:00:00+00:00
34.3,2023-09-09 22:00:00+00:00
32.9,2023-09-09 23:00:00+00:00
