pm25,datetime
12.1,2023-12-31 00:00:00+00:00
6.5,2023-12-31 01:00:00+00:00
4.4,2023-12-31 02:00:00+00:00
5.0,2023-12-31 03:00:00+00:00
6.7,2023-12-31 04:00:00+00:00
8.1,2023-12-31 05:00:00+00:00
4.2,2023-12-31 06:00:00+00:00
3.6,2023-12-31 07:00:00+00:00
7.7,2023-12-31 08:00:00+00:00
8.6,2023-12-31 09:00:00+00:00
4.3,2023-12-31 10:00:00+00:00
0.3,2023-12-31 11:00:00+00:00
2.0,2023-12-31 12:00:00+00:00
7.8,2023-12-31 13:00:00+00:00
9.1,2023-12-31 14:00:00+00:00
6.5,2023-12-31 15:00:00+00:00
9.2,2023-12-31 16:00:00+00:00
11.2,2023-12-31 17:00:00+00:00
18.1,2023-12-31 18:00:00+00:00
17.1,2023-12-31 19:00:00+00:00
19.4,2023-12-31 20:00:00+00:00
16.6,2023-12-31 21:00:00+00:00
22.6,2023-12-31 22:00:00+00:00
24.6,2023-12-31 23:00:00+00:00
12.6,2024-01-01 00:00:00+00:00
75.6,2024-01-01 01:00:00+00:00
19.5,2024-01-01 02:00:00+00:00
11.9,2024-01-01 03:00:00+00:00
11.6,2024-01-01 04:00:00+00:00
13.4,2024-01-01 05:00:00+00:00
20.3,2024-01-01 06:00:00+00:00
16.5,2024-01-01 07:00:00+00:00
9.3,2024-01-01 08:00:00+00:00
10.8,2024-01-01 09:00:00+00:00
12.8,2024-01-01 10:00:00+00:00
12.2,2024-01-01 11:00:00+00:00
12.3,2024-01-01 12:00:00+00:00
10.4,2024-01-01 13:00:00+00:00
18.1,2024-01-01 14:00:00+00:00
12.3,2024-01-01 15:00:00+00:00
12.3,2024-01-01 16:00:00+00:00
17.0,2024-01-01 17:00:00+00:00
9.5,2024-01-01 18:00:00+00:00
16.5,2024-01-01 19:00:00+00:00
15.3,2024-01-01 20:00:00+00:00
11.6,2024-01-01 21:00:00+00:00
9.5,2024-01-01 22:00:00+00:00
11.1,2024-01-01 23:00:00+00:00
