pm25_HLL_298,temperature_HLL_298,datetime,humidity_HLL_298,pm25_HLL_345,temperature_HLL_345,humidity_HLL_345,winddirection,windspeed,temperature_KNMI_240,humidity_KNMI_240,pm25_NL49701,pm25_HLL_256,temperature_HLL_256,humidity_HLL_256,pm25_HLL_307,temperature_HLL_307,humidity_HLL_307,pm25_HLL_320,temperature_HLL_320,humidity_HLL_320,pm25_HLL_448,temperature_HLL_448,humidity_HLL_448,winddirection_knmi,windspeed_knmi,temperature_knmi,humidity_knmi,pm25_diff_HLL_345_HLL_345,pm25_diff_HLL_345_HLL_307,pm25_diff_HLL_345_HLL_448,pm25_diff_HLL_345_HLL_298,pm25_diff_HLL_345_HLL_320,pm25_diff_HLL_345_HLL_256,pm25_diff_HLL_307_HLL_345,pm25_diff_HLL_307_HLL_307,pm25_diff_HLL_307_HLL_448,pm25_diff_HLL_307_HLL_298,pm25_diff_HLL_307_HLL_320,pm25_diff_HLL_307_HLL_256,pm25_diff_HLL_448_HLL_345,pm25_diff_HLL_448_HLL_307,pm25_diff_HLL_448_HLL_448,pm25_diff_HLL_448_HLL_298,pm25_diff_HLL_448_HLL_320,pm25_diff_HLL_448_HLL_256,pm25_diff_HLL_298_HLL_345,pm25_diff_HLL_298_HLL_307,pm25_diff_HLL_298_HLL_448,pm25_diff_HLL_298_HLL_298,pm25_diff_HLL_298_HLL_320,pm25_diff_HLL_298_HLL_256,pm25_diff_HLL_320_HLL_345,pm25_diff_HLL_320_HLL_307,pm25_diff_HLL_320_HLL_448,pm25_diff_HLL_320_HLL_298,pm25_diff_HLL_320_HLL_320,pm25_diff_HLL_320_HLL_256,pm25_diff_HLL_256_HLL_345,pm25_diff_HLL_256_HLL_307,pm25_diff_HLL_256_HLL_448,pm25_diff_HLL_256_HLL_298,pm25_diff_HLL_256_HLL_320,pm25_diff_HLL_256_HLL_256,highhumidity,datehour,dateday
2.01,13.8,2023-04-03 16:00:00+00:00,33.56,2.28,10.5,36.09,60.0,6.0,9.2,43.0,2.1,2.23,12.17,36.07,2.2,9.94,40.12,3.02,10.97,36.43,,,,60.0,6.0,9.2,43.0,0.0,0.07999999999999963,,0.27,-0.7400000000000002,0.04999999999999982,-0.07999999999999963,0.0,,0.1900000000000004,-0.8199999999999998,-0.029999999999999805,,,,,,,-0.27,-0.1900000000000004,,0.0,-1.0100000000000002,-0.2200000000000002,0.7400000000000002,0.8199999999999998,,1.0100000000000002,0.0,0.79,-0.04999999999999982,0.029999999999999805,,0.2200000000000002,-0.79,0.0,False,16,Monday
2.43,11.22,2023-04-03 17:00:00+00:00,36.38,3.0,9.83,37.66,70.0,6.0,8.3,41.0,2.4,2.46,10.5,39.35,2.38,9.28,43.4,2.38,10.2,38.28,,,,70.0,6.0,8.3,41.0,0.0,0.6200000000000001,,0.5699999999999998,0.6200000000000001,0.54,-0.6200000000000001,0.0,,-0.050000000000000266,0.0,-0.08000000000000007,,,,,,,-0.5699999999999998,0.050000000000000266,,0.0,0.050000000000000266,-0.029999999999999805,-0.6200000000000001,0.0,,-0.050000000000000266,0.0,-0.08000000000000007,-0.54,0.08000000000000007,,0.029999999999999805,0.08000000000000007,0.0,False,17,Monday
2.68,9.32,2023-04-03 18:00:00+00:00,41.79,3.34,9.12,40.46,70.0,6.0,7.2,49.0,2.5,2.77,9.31,43.21,2.58,8.28,46.29,2.69,9.27,42.28,,,,70.0,6.0,7.2,49.0,0.0,0.7599999999999998,,0.6599999999999997,0.6499999999999999,0.5699999999999998,-0.7599999999999998,0.0,,-0.10000000000000009,-0.10999999999999988,-0.18999999999999995,,,,,,,-0.6599999999999997,0.10000000000000009,,0.0,-0.009999999999999787,-0.08999999999999986,-0.6499999999999999,0.10999999999999988,,0.009999999999999787,0.0,-0.08000000000000007,-0.5699999999999998,0.18999999999999995,,0.08999999999999986,0.08000000000000007,0.0,False,18,Monday
3.79,8.41,2023-04-03 19:00:00+00:00,45.33,6.38,8.22,45.24,70.0,4.0,5.9,54.0,3.2,3.32,8.21,48.83,4.72,7.23,52.97,4.34,8.29,48.4,,,,70.0,4.0,5.9,54.0,0.0,1.6600000000000001,,2.59,2.04,3.06,-1.6600000000000001,0.0,,0.9299999999999997,0.3799999999999999,1.4,,,,,,,-2.59,-0.9299999999999997,,0.0,-0.5499999999999998,0.4700000000000002,-2.04,-0.3799999999999999,,0.5499999999999998,0.0,1.02,-3.06,-1.4,,-0.4700000000000002,-1.02,0.0,False,19,Monday
4.17,7.74,2023-04-03 20:00:00+00:00,49.25,6.25,7.16,50.84,80.0,2.0,5.3,55.0,3.7,4.11,7.34,51.79,4.84,6.4,57.14,5.35,7.49,52.88,,,,80.0,2.0,5.3,55.0,0.0,1.4100000000000001,,2.08,0.9000000000000004,2.1399999999999997,-1.4100000000000001,0.0,,0.6699999999999999,-0.5099999999999998,0.7299999999999995,,,,,,,-2.08,-0.6699999999999999,,0.0,-1.1799999999999997,0.05999999999999961,-0.9000000000000004,0.5099999999999998,,1.1799999999999997,0.0,1.2399999999999993,-2.1399999999999997,-0.7299999999999995,,-0.05999999999999961,-1.2399999999999993,0.0,False,20,Monday
3.88,6.92,2023-04-03 21:00:00+00:00,57.61,4.62,6.33,59.22,70.0,2.0,5.3,57.0,3.6,4.55,6.75,55.9,4.5,5.87,63.04,5.42,6.83,60.55,,,,70.0,2.0,5.3,57.0,0.0,0.1200000000000001,,0.7400000000000002,-0.7999999999999998,0.07000000000000028,-0.1200000000000001,0.0,,0.6200000000000001,-0.9199999999999999,-0.04999999999999982,,,,,,,-0.7400000000000002,-0.6200000000000001,,0.0,-1.54,-0.6699999999999999,0.7999999999999998,0.9199999999999999,,1.54,0.0,0.8700000000000001,-0.07000000000000028,0.04999999999999982,,0.6699999999999999,-0.8700000000000001,0.0,False,21,Monday
3.22,6.18,2023-04-03 22:00:00+00:00,62.31,3.74,5.7,65.32,80.0,3.0,3.9,62.0,2.6,3.23,6.07,64.18,3.5,5.29,71.45,5.59,6.29,65.15,,,,80.0,3.0,3.9,62.0,0.0,0.2400000000000002,,0.52,-1.8499999999999996,0.5100000000000002,-0.2400000000000002,0.0,,0.2799999999999998,-2.09,0.27,,,,,,,-0.52,-0.2799999999999998,,0.0,-2.3699999999999997,-0.009999999999999787,1.8499999999999996,2.09,,2.3699999999999997,0.0,2.36,-0.5100000000000002,-0.27,,0.009999999999999787,-2.36,0.0,False,22,Monday
2.88,5.94,2023-04-03 23:00:00+00:00,59.16,3.72,5.62,60.66,70.0,3.0,2.6,72.0,2.1,2.79,5.74,60.45,3.06,5.0,66.29,3.05,5.98,61.4,,,,70.0,3.0,2.6,72.0,0.0,0.6600000000000001,,0.8400000000000003,0.6700000000000004,0.9300000000000002,-0.6600000000000001,0.0,,0.18000000000000016,0.010000000000000231,0.27,,,,,,,-0.8400000000000003,-0.18000000000000016,,0.0,-0.16999999999999993,0.08999999999999986,-0.6700000000000004,-0.010000000000000231,,0.16999999999999993,0.0,0.2599999999999998,-0.9300000000000002,-0.27,,-0.08999999999999986,-0.2599999999999998,0.0,False,23,Monday
3.65,5.51,2023-04-04 00:00:00+00:00,61.69,3.77,5.06,64.35,80.0,3.0,2.3,72.0,2.4,3.37,5.21,64.86,3.95,4.51,69.22,3.54,5.45,65.56,,,,80.0,3.0,2.3,72.0,0.0,-0.18000000000000016,,0.1200000000000001,0.22999999999999998,0.3999999999999999,0.18000000000000016,0.0,,0.30000000000000027,0.41000000000000014,0.5800000000000001,,,,,,,-0.1200000000000001,-0.30000000000000027,,0.0,0.10999999999999988,0.2799999999999998,-0.22999999999999998,-0.41000000000000014,,-0.10999999999999988,0.0,0.16999999999999993,-0.3999999999999999,-0.5800000000000001,,-0.2799999999999998,-0.16999999999999993,0.0,False,0,Tuesday
4.7,5.08,2023-04-04 01:00:00+00:00,64.66,4.98,4.45,69.0,80.0,4.0,2.3,73.0,3.0,4.56,4.69,68.61,4.13,3.96,72.61,4.46,4.94,69.39,,,,80.0,4.0,2.3,73.0,0.0,0.8500000000000005,,0.28000000000000025,0.5200000000000005,0.4200000000000008,-0.8500000000000005,0.0,,-0.5700000000000003,-0.33000000000000007,-0.4299999999999997,,,,,,,-0.28000000000000025,0.5700000000000003,,0.0,0.2400000000000002,0.14000000000000057,-0.5200000000000005,0.33000000000000007,,-0.2400000000000002,0.0,-0.09999999999999964,-0.4200000000000008,0.4299999999999997,,-0.14000000000000057,0.09999999999999964,0.0,False,1,Tuesday
6.77,4.68,2023-04-04 02:00:00+00:00,66.75,7.41,3.81,71.7,80.0,3.0,1.0,78.0,4.2,6.2,4.27,68.88,9.96,3.63,73.32,6.61,4.42,71.79,,,,80.0,3.0,1.0,78.0,0.0,-2.5500000000000007,,0.6400000000000006,0.7999999999999998,1.21,2.5500000000000007,0.0,,3.1900000000000013,3.3500000000000005,3.7600000000000007,,,,,,,-0.6400000000000006,-3.1900000000000013,,0.0,0.15999999999999925,0.5699999999999994,-0.7999999999999998,-3.3500000000000005,,-0.15999999999999925,0.0,0.41000000000000014,-1.21,-3.7600000000000007,,-0.5699999999999994,-0.41000000000000014,0.0,False,2,Tuesday
9.18,4.26,2023-04-04 03:00:00+00:00,68.9,10.34,3.46,73.82,90.0,3.0,0.9,81.0,5.0,8.11,3.9,71.62,10.78,3.32,74.33,9.02,4.0,73.92,,,,90.0,3.0,0.9,81.0,0.0,-0.4399999999999995,,1.1600000000000001,1.3200000000000003,2.2300000000000004,0.4399999999999995,0.0,,1.5999999999999996,1.7599999999999998,2.67,,,,,,,-1.1600000000000001,-1.5999999999999996,,0.0,0.16000000000000014,1.0700000000000003,-1.3200000000000003,-1.7599999999999998,,-0.16000000000000014,0.0,0.9100000000000001,-2.2300000000000004,-2.67,,-1.0700000000000003,-0.9100000000000001,0.0,False,3,Tuesday
10.64,4.08,2023-04-04 04:00:00+00:00,70.11,13.07,2.87,75.16,60.0,1.0,0.8,82.0,6.0,10.09,3.56,73.42,9.51,2.93,75.79,10.82,3.61,75.52,,,,60.0,1.0,0.8,82.0,0.0,3.5600000000000005,,2.4299999999999997,2.25,2.9800000000000004,-3.5600000000000005,0.0,,-1.1300000000000008,-1.3100000000000005,-0.5800000000000001,,,,,,,-2.4299999999999997,1.1300000000000008,,0.0,-0.17999999999999972,0.5500000000000007,-2.25,1.3100000000000005,,0.17999999999999972,0.0,0.7300000000000004,-2.9800000000000004,0.5800000000000001,,-0.5500000000000007,-0.7300000000000004,0.0,False,4,Tuesday
13.38,3.56,2023-04-04 05:00:00+00:00,71.68,15.33,2.04,77.5,80.0,2.0,1.2,80.0,8.7,11.39,2.95,75.36,10.54,2.08,78.42,13.35,3.23,76.12,,,,80.0,2.0,1.2,80.0,0.0,4.790000000000001,,1.9499999999999993,1.9800000000000004,3.9399999999999995,-4.790000000000001,0.0,,-2.8400000000000016,-2.8100000000000005,-0.8500000000000014,,,,,,,-1.9499999999999993,2.8400000000000016,,0.0,0.030000000000001137,1.9900000000000002,-1.9800000000000004,2.8100000000000005,,-0.030000000000001137,0.0,1.959999999999999,-3.9399999999999995,0.8500000000000014,,-1.9900000000000002,-1.959999999999999,0.0,False,5,Tuesday
15.27,3.11,2023-04-04 06:00:00+00:00,73.42,25.25,1.98,79.47,80.0,1.0,1.5,81.0,10.3,14.38,2.48,77.49,14.77,1.99,79.41,16.69,3.25,77.74,,,,80.0,1.0,1.5,81.0,0.0,10.48,,9.98,8.559999999999999,10.87,-10.48,0.0,,-0.5,-1.9200000000000017,0.3899999999999988,,,,,,,-9.98,0.5,,0.0,-1.4200000000000017,0.8899999999999988,-8.559999999999999,1.9200000000000017,,1.4200000000000017,0.0,2.3100000000000005,-10.87,-0.3899999999999988,,-0.8899999999999988,-2.3100000000000005,0.0,False,6,Tuesday
15.97,3.68,2023-04-04 07:00:00+00:00,75.71,15.96,9.06,63.32,70.0,1.0,4.8,67.0,10.8,16.07,3.13,78.03,15.26,3.82,77.59,14.41,4.55,73.4,,,,70.0,1.0,4.8,67.0,0.0,0.7000000000000011,,-0.009999999999999787,1.5500000000000007,-0.10999999999999943,-0.7000000000000011,0.0,,-0.7100000000000009,0.8499999999999996,-0.8100000000000005,,,,,,,0.009999999999999787,0.7100000000000009,,0.0,1.5600000000000005,-0.09999999999999964,-1.5500000000000007,-0.8499999999999996,,-1.5600000000000005,0.0,-1.6600000000000001,0.10999999999999943,0.8100000000000005,,0.09999999999999964,1.6600000000000001,0.0,False,7,Tuesday
12.92,6.75,2023-04-04 08:00:00+00:00,66.51,10.19,18.0,31.25,140.0,1.0,7.2,46.0,8.6,10.76,5.2,67.18,12.8,7.37,65.88,8.9,7.36,59.45,,,,140.0,1.0,7.2,46.0,0.0,-2.610000000000001,,-2.7300000000000004,1.2899999999999991,-0.5700000000000003,2.610000000000001,0.0,,-0.11999999999999922,3.9000000000000004,2.040000000000001,,,,,,,2.7300000000000004,0.11999999999999922,,0.0,4.02,2.16,-1.2899999999999991,-3.9000000000000004,,-4.02,0.0,-1.8599999999999994,0.5700000000000003,-2.040000000000001,,-2.16,1.8599999999999994,0.0,False,8,Tuesday
7.2,10.02,2023-04-04 09:00:00+00:00,48.23,6.04,20.86,24.41,990.0,1.0,7.2,47.0,5.2,5.72,7.34,52.05,7.76,9.29,47.85,7.39,8.77,45.79,,,,,,,,0.0,-1.7199999999999998,,-1.1600000000000001,-1.3499999999999996,0.3200000000000003,1.7199999999999998,0.0,,0.5599999999999996,0.3700000000000001,2.04,,,,,,,1.1600000000000001,-0.5599999999999996,,0.0,-0.1899999999999995,1.4800000000000004,1.3499999999999996,-0.3700000000000001,,0.1899999999999995,0.0,1.67,-0.3200000000000003,-2.04,,-1.4800000000000004,-1.67,0.0,False,9,Tuesday
3.81,12.94,2023-04-04 10:00:00+00:00,35.15,4.11,23.93,18.92,80.0,2.0,8.6,47.0,4.0,4.37,9.4,43.03,5.2,10.53,41.31,4.56,9.63,39.81,,,,80.0,2.0,8.6,47.0,0.0,-1.0899999999999999,,0.30000000000000027,-0.4499999999999993,-0.2599999999999998,1.0899999999999999,0.0,,1.3900000000000001,0.6400000000000006,0.8300000000000001,,,,,,,-0.30000000000000027,-1.3900000000000001,,0.0,-0.7499999999999996,-0.56,0.4499999999999993,-0.6400000000000006,,0.7499999999999996,0.0,0.1899999999999995,0.2599999999999998,-0.8300000000000001,,0.56,-0.1899999999999995,0.0,False,10,Tuesday
