pm25_HLL_545,temperature_HLL_545,datetime,humidity_HLL_545,pm25_HLL_549,temperature_HLL_549,humidity_HLL_549,pm25_HLL_420,temperature_HLL_420,humidity_HLL_420,pm25_HLL_541,temperature_HLL_541,humidity_HLL_541,pm25_NL49570,pm25_NL49701,winddirection,windspeed,temperature_knmi,humidity_knmi
2.13,23.31,2023-09-03 18:00:00+00:00,47.37,2.02,23.1,48.86,1.95,25.56,50.16,2.76,26.09,48.23,-0.9,2.9,90.0,4.0,,
3.58,20.68,2023-09-03 19:00:00+00:00,60.84,3.6,20.65,61.31,1.92,22.25,60.77,2.8,22.05,60.96,0.5,2.5,90.0,4.0,,
4.74,17.83,2023-09-03 20:00:00+00:00,70.36,4.95,17.81,70.32,2.64,19.81,71.48,3.99,19.52,72.04,5.3,3.0,90.0,4.0,,
7.49,16.29,2023-09-03 21:00:00+00:00,77.45,7.77,16.33,78.33,3.24,18.8,77.31,4.69,18.7,77.3,7.1,2.8,90.0,4.0,,
8.67,15.11,2023-09-03 22:00:00+00:00,79.45,8.87,15.16,80.13,4.35,18.0,80.35,6.48,18.01,80.59,6.1,3.6,100.0,3.0,,
9.88,14.14,2023-09-03 23:00:00+00:00,81.62,10.35,14.25,82.39,5.58,17.24,83.28,7.73,17.34,83.11,8.0,4.5,100.0,2.0,,
10.92,13.57,2023-09-04 00:00:00+00:00,82.65,10.93,13.69,83.44,6.3,16.53,85.01,8.8,16.66,84.81,6.6,4.7,110.0,2.0,,
12.3,12.97,2023-09-04 01:00:00+00:00,83.38,12.37,13.05,84.12,7.57,15.97,85.84,9.71,16.14,85.88,3.9,5.3,100.0,2.0,,
13.19,12.54,2023-09-04 02:00:00+00:00,84.9,13.3,12.54,85.68,7.87,15.39,88.09,10.85,15.6,87.65,4.2,5.4,110.0,2.0,,
13.63,11.99,2023-09-04 03:00:00+00:00,84.78,12.9,12.05,85.6,7.88,15.08,89.39,10.33,15.47,87.41,4.8,5.2,110.0,3.0,,
13.93,11.65,2023-09-04 04:00:00+00:00,86.1,13.1,11.71,87.7,8.79,14.8,90.15,11.46,15.27,88.21,3.8,5.1,90.0,3.0,,
13.87,11.4,2023-09-04 05:00:00+00:00,87.02,12.63,11.51,87.95,8.76,14.71,89.95,11.46,15.3,87.51,4.2,5.3,100.0,2.0,,
15.28,13.07,2023-09-04 06:00:00+00:00,85.67,16.11,12.84,87.35,8.93,14.9,89.14,11.41,15.6,86.15,6.9,5.8,100.0,3.0,,
12.71,19.5,2023-09-04 07:00:00+00:00,72.82,14.99,18.08,79.06,9.47,16.86,83.3,12.81,17.44,80.4,6.1,7.2,100.0,3.0,,
10.86,23.78,2023-09-04 08:00:00+00:00,57.68,12.51,22.35,64.31,17.31,20.89,68.76,9.97,21.46,65.04,7.9,7.3,100.0,4.0,,
8.38,25.94,2023-09-04 09:00:00+00:00,50.59,9.17,25.09,54.76,4.79,26.31,50.43,8.05,24.68,53.32,8.0,6.8,100.0,5.0,,
7.6,28.44,2023-09-04 10:00:00+00:00,43.22,8.19,27.94,45.4,5.04,32.04,37.89,8.17,28.2,45.04,7.6,8.6,130.0,4.0,,
8.76,30.72,2023-09-04 11:00:00+00:00,40.12,9.72,30.7,41.31,4.95,35.61,33.93,8.72,31.39,40.46,8.9,9.5,110.0,4.0,,
9.33,31.17,2023-09-04 12:00:00+00:00,40.18,10.14,30.89,41.55,6.43,35.12,34.55,10.65,32.23,39.12,10.9,11.1,140.0,4.0,,
9.71,31.24,2023-09-04 13:00:00+00:00,39.86,10.94,31.07,41.49,7.41,34.79,34.86,12.23,33.01,37.26,11.3,12.6,100.0,4.0,,
13.96,31.16,2023-09-04 14:00:00+00:00,41.4,14.77,30.84,42.85,7.43,30.57,42.86,11.01,32.23,39.2,11.1,11.8,80.0,5.0,,
12.82,30.05,2023-09-04 15:00:00+00:00,44.5,13.74,29.63,46.09,5.67,30.72,42.8,8.13,32.3,38.93,14.2,9.3,80.0,4.0,,
9.75,28.4,2023-09-04 16:00:00+00:00,49.13,10.73,28.0,50.66,4.86,30.26,44.73,7.32,31.13,42.22,12.2,8.0,80.0,4.0,,
9.44,24.74,2023-09-04 17:00:00+00:00,57.43,10.05,24.52,58.33,4.56,26.81,52.6,7.26,26.88,51.55,9.5,7.6,70.0,6.0,,
7.97,22.54,2023-09-04 18:00:00+00:00,62.08,8.34,22.46,62.56,4.41,23.65,61.18,6.82,23.66,60.65,9.2,6.1,70.0,5.0,,
9.39,20.84,2023-09-04 19:00:00+00:00,66.96,9.47,20.82,67.22,4.48,21.62,68.69,6.72,21.64,67.82,7.2,5.4,80.0,6.0,,
11.5,19.42,2023-09-04 20:00:00+00:00,74.17,11.62,19.46,74.56,5.03,20.64,72.54,7.6,20.73,71.6,5.6,5.7,90.0,6.0,,
13.39,18.45,2023-09-04 21:00:00+00:00,77.95,13.52,18.44,79.01,5.76,19.91,74.2,8.85,20.09,72.92,9.1,6.5,80.0,6.0,,
14.39,17.82,2023-09-04 22:00:00+00:00,80.19,14.36,17.79,81.85,6.41,19.33,78.41,9.55,19.55,76.85,12.6,6.5,70.0,5.0,,
19.43,16.33,2023-09-04 23:00:00+00:00,84.08,19.54,16.38,85.86,5.09,19.13,75.24,7.4,19.48,73.21,11.8,5.6,70.0,6.0,,
20.53,16.1,2023-09-05 00:00:00+00:00,86.99,19.46,16.21,88.62,6.94,18.42,80.33,10.22,18.83,78.23,8.9,6.7,80.0,7.0,,
19.01,16.46,2023-09-05 01:00:00+00:00,86.3,18.73,16.5,87.9,10.01,17.56,86.09,13.57,17.96,83.92,6.5,7.5,70.0,8.0,,
18.01,16.71,2023-09-05 02:00:00+00:00,86.09,17.63,16.72,87.91,9.29,17.92,84.84,12.51,18.33,82.49,6.1,7.4,70.0,7.0,,
17.97,16.7,2023-09-05 03:00:00+00:00,86.11,17.54,16.7,87.9,9.53,17.43,87.08,13.09,17.87,84.61,5.5,7.5,80.0,5.0,,
18.78,16.66,2023-09-05 04:00:00+00:00,87.98,18.52,16.66,89.84,9.59,17.2,87.32,13.16,17.67,84.63,6.8,7.6,80.0,6.0,,
17.82,16.69,2023-09-05 05:00:00+00:00,86.99,17.57,16.72,88.75,8.86,16.86,86.86,12.48,17.34,84.29,7.4,7.6,80.0,5.0,,
16.25,17.86,2023-09-05 06:00:00+00:00,82.37,16.7,17.52,85.32,8.12,16.91,85.61,10.76,17.62,82.03,8.8,6.7,90.0,5.0,,
9.65,23.43,2023-09-05 07:00:00+00:00,62.67,11.01,21.59,69.96,5.91,18.61,78.4,8.27,19.17,75.47,10.7,6.2,100.0,5.0,,
7.32,25.82,2023-09-05 08:00:00+00:00,52.3,7.73,24.39,57.92,4.08,23.14,61.67,5.96,24.36,56.62,6.9,5.8,120.0,4.0,,
5.84,28.48,2023-09-05 09:00:00+00:00,44.3,6.28,27.69,47.93,3.34,29.9,43.54,5.16,28.26,45.31,6.0,5.6,120.0,4.0,,
5.27,31.08,2023-09-05 10:00:00+00:00,38.45,5.58,30.73,40.55,2.47,36.49,31.92,4.32,32.25,37.55,7.7,5.7,100.0,3.0,,
5.22,32.67,2023-09-05 11:00:00+00:00,36.91,5.58,32.39,38.27,2.33,39.81,27.55,3.84,35.89,32.02,10.8,5.3,70.0,5.0,,
4.92,33.45,2023-09-05 12:00:00+00:00,36.73,5.16,33.19,38.14,2.34,40.69,26.38,3.62,36.86,30.56,11.4,5.1,80.0,5.0,,
4.59,34.17,2023-09-05 13:00:00+00:00,35.92,4.59,33.61,37.94,2.4,40.14,27.45,3.45,37.97,29.54,9.1,5.5,70.0,4.0,,
4.31,34.32,2023-09-05 14:00:00+00:00,36.12,4.76,33.76,37.89,3.13,34.84,36.01,3.76,40.13,27.83,8.2,5.7,80.0,6.0,,
4.35,33.97,2023-09-05 15:00:00+00:00,37.92,4.76,33.55,38.89,2.4,36.84,32.54,3.48,39.76,27.94,9.8,5.0,100.0,5.0,,
3.82,33.67,2023-09-05 16:00:00+00:00,37.98,4.25,33.16,39.39,2.05,36.83,33.18,3.03,37.83,30.88,7.5,4.2,90.0,6.0,,
3.7,31.8,2023-09-05 17:00:00+00:00,42.0,4.07,31.7,42.93,2.02,34.28,38.91,3.79,34.74,37.27,5.7,4.0,90.0,5.0,,
4.21,29.16,2023-09-05 18:00:00+00:00,50.05,4.65,28.72,52.03,2.47,32.07,44.37,3.47,32.85,41.89,7.0,4.3,120.0,2.0,,
5.48,25.87,2023-09-05 19:00:00+00:00,59.64,5.54,25.72,60.29,3.16,28.13,54.11,4.41,27.96,53.83,7.5,5.2,130.0,3.0,,
7.88,22.26,2023-09-05 20:00:00+00:00,71.24,7.82,22.25,71.22,3.92,25.36,64.03,6.06,24.99,64.53,7.2,6.1,100.0,2.0,,
11.05,20.31,2023-09-05 21:00:00+00:00,77.91,11.59,20.33,78.01,3.99,23.85,69.2,5.84,23.44,70.16,7.2,5.7,100.0,3.0,,
14.47,19.31,2023-09-05 22:00:00+00:00,81.7,14.46,19.37,82.36,4.48,22.78,73.37,7.07,22.4,75.35,11.1,6.2,100.0,3.0,,
12.38,19.06,2023-09-05 23:00:00+00:00,83.1,12.43,19.17,84.23,4.61,22.19,75.71,7.08,22.01,76.56,10.8,5.6,110.0,4.0,,
12.06,18.89,2023-09-06 00:00:00+00:00,83.09,12.66,19.0,84.17,4.19,21.6,75.43,6.18,21.55,75.73,8.0,5.3,110.0,3.0,,
12.9,17.86,2023-09-06 01:00:00+00:00,83.2,13.65,17.95,84.33,4.78,20.87,78.7,7.18,21.03,78.15,10.8,5.6,110.0,3.0,,
14.93,17.19,2023-09-06 02:00:00+00:00,85.5,14.99,17.23,86.73,5.58,19.88,81.89,8.4,19.82,83.0,13.4,6.1,110.0,3.0,,
15.72,16.57,2023-09-06 03:00:00+00:00,85.27,16.28,16.61,86.06,6.02,19.17,83.35,8.33,19.23,83.31,12.6,6.6,110.0,3.0,,
17.1,16.08,2023-09-06 04:00:00+00:00,86.28,17.97,16.12,87.24,7.09,18.66,84.66,9.66,18.92,84.0,13.8,6.8,100.0,3.0,,
18.3,15.81,2023-09-06 05:00:00+00:00,86.69,19.0,15.84,87.92,7.95,18.05,85.12,10.29,18.33,84.61,16.1,7.3,120.0,3.0,,
18.7,17.17,2023-09-06 06:00:00+00:00,84.96,21.45,16.95,86.85,8.59,18.13,85.17,11.4,18.61,83.89,9.7,8.4,120.0,4.0,,
12.77,23.54,2023-09-06 07:00:00+00:00,66.73,14.92,22.38,72.08,8.95,20.48,77.98,12.36,20.72,76.58,8.7,10.6,120.0,2.0,,
13.22,28.23,2023-09-06 08:00:00+00:00,52.97,15.18,27.16,57.55,8.15,25.72,62.27,11.75,26.69,58.02,19.2,12.3,120.0,2.0,,
14.18,32.37,2023-09-06 09:00:00+00:00,44.73,15.48,31.67,47.86,7.3,33.7,43.1,12.08,31.99,44.47,22.5,14.1,80.0,2.0,,
11.86,34.77,2023-09-06 10:00:00+00:00,40.99,13.52,34.29,43.04,6.16,40.31,31.32,11.05,35.9,37.03,23.3,14.8,260.0,1.0,,
10.13,35.65,2023-09-06 11:00:00+00:00,38.89,10.82,36.23,39.36,4.54,43.12,27.69,7.78,38.34,33.21,11.7,11.7,280.0,1.0,,
6.62,36.15,2023-09-06 12:00:00+00:00,37.79,7.1,36.95,37.39,3.22,45.4,25.1,5.38,41.68,28.32,10.7,9.3,290.0,2.0,,
5.29,37.61,2023-09-06 13:00:00+00:00,35.63,6.04,37.88,35.64,2.49,44.54,25.1,4.3,42.63,26.5,12.7,7.4,340.0,3.0,,
5.32,38.39,2023-09-06 14:00:00+00:00,32.79,5.59,38.58,33.1,3.23,37.78,34.7,4.19,43.2,26.84,12.9,7.6,10.0,4.0,,
9.53,36.73,2023-09-06 15:00:00+00:00,37.42,12.26,35.13,41.03,2.92,38.64,33.19,4.08,41.4,28.52,19.8,7.4,10.0,5.0,,
6.35,36.3,2023-09-06 16:00:00+00:00,37.97,7.6,34.38,42.51,2.33,38.56,30.91,3.39,39.79,28.52,21.5,6.1,10.0,5.0,,
5.2,34.1,2023-09-06 17:00:00+00:00,39.24,5.53,33.91,40.46,2.51,36.25,34.94,3.65,36.93,33.27,12.9,5.4,20.0,5.0,,
5.64,30.06,2023-09-06 18:00:00+00:00,50.36,6.31,29.79,51.67,3.36,32.39,44.62,5.01,33.41,41.87,11.9,6.9,80.0,4.0,,
7.43,26.06,2023-09-06 19:00:00+00:00,62.03,8.06,26.03,62.33,4.18,27.69,55.64,5.8,27.52,55.11,8.3,7.1,90.0,4.0,,
8.27,23.86,2023-09-06 20:00:00+00:00,67.17,8.73,23.93,66.68,4.01,25.62,62.14,6.06,25.25,63.0,7.6,6.5,80.0,3.0,,
11.3,21.27,2023-09-06 21:00:00+00:00,74.33,11.39,21.4,73.4,4.78,24.15,68.77,7.06,23.52,71.11,10.5,6.6,90.0,3.0,,
15.59,19.63,2023-09-06 22:00:00+00:00,78.58,16.15,19.76,78.85,5.72,22.9,73.74,8.08,22.23,76.5,12.2,7.5,90.0,3.0,,
18.6,18.68,2023-09-06 23:00:00+00:00,82.32,18.53,18.77,82.25,6.53,21.9,77.07,9.59,21.35,79.79,17.4,8.0,90.0,3.0,,
21.76,18.09,2023-09-07 00:00:00+00:00,83.73,22.36,18.15,84.08,6.78,21.24,79.01,9.68,20.75,82.43,10.7,7.6,80.0,4.0,,
27.05,17.65,2023-09-07 01:00:00+00:00,85.45,27.49,17.75,86.43,8.0,20.53,81.48,11.09,20.27,83.53,11.4,7.7,90.0,4.0,,
33.09,17.22,2023-09-07 02:00:00+00:00,85.93,31.79,17.31,86.28,8.33,20.22,82.9,11.9,20.28,83.16,17.5,8.2,90.0,4.0,,
34.12,16.96,2023-09-07 03:00:00+00:00,87.51,33.77,17.04,88.27,7.61,20.03,82.42,10.61,20.38,81.23,11.6,7.9,80.0,4.0,,
29.03,17.42,2023-09-07 04:00:00+00:00,89.85,27.76,17.56,91.13,8.62,19.64,83.06,11.89,20.09,81.21,10.2,8.5,90.0,3.0,,
22.52,17.72,2023-09-07 05:00:00+00:00,86.81,22.89,17.77,88.15,10.62,19.31,84.75,14.66,19.67,83.2,10.4,10.0,90.0,3.0,,
23.33,18.13,2023-09-07 06:00:00+00:00,83.81,24.52,17.86,86.26,12.32,19.08,86.98,16.33,19.68,84.55,12.2,10.6,80.0,4.0,,
16.22,23.88,2023-09-07 07:00:00+00:00,68.85,19.79,22.19,75.98,10.3,21.0,80.54,14.81,21.12,79.66,12.5,10.5,90.0,4.0,,
12.49,26.77,2023-09-07 08:00:00+00:00,57.23,14.43,25.58,62.97,7.41,25.01,64.62,11.64,25.49,62.79,10.5,10.3,90.0,5.0,,
9.98,28.93,2023-09-07 09:00:00+00:00,50.82,11.11,28.2,54.0,5.53,31.11,46.66,8.72,29.29,50.36,8.7,9.4,90.0,4.0,,
6.9,31.56,2023-09-07 10:00:00+00:00,43.46,7.5,31.37,44.84,4.47,36.98,34.67,7.31,32.7,41.88,11.4,8.9,80.0,5.0,,
6.38,33.58,2023-09-07 11:00:00+00:00,39.39,7.23,33.31,40.95,3.88,40.28,29.82,6.67,36.12,35.83,11.8,9.0,80.0,5.0,,
6.74,33.82,2023-09-07 12:00:00+00:00,39.22,7.62,33.54,40.97,3.91,41.29,29.52,6.98,38.02,33.79,11.7,9.6,90.0,7.0,,
7.22,33.28,2023-09-07 13:00:00+00:00,39.61,7.78,32.93,41.24,3.98,39.49,31.2,6.4,38.42,32.77,14.1,9.6,90.0,6.0,,
7.09,33.95,2023-09-07 14:00:00+00:00,38.53,8.08,33.57,39.97,4.42,34.44,39.76,6.0,39.32,31.43,12.6,9.2,80.0,7.0,,
7.14,33.9,2023-09-07 15:00:00+00:00,39.69,8.17,33.44,41.39,3.92,36.57,35.25,5.37,39.94,29.99,17.7,8.8,80.0,6.0,,
6.26,33.03,2023-09-07 16:00:00+00:00,38.82,7.06,32.58,40.63,3.61,36.45,36.26,5.68,37.97,32.84,2.2,8.0,80.0,6.0,,
6.97,31.78,2023-09-07 17:00:00+00:00,42.88,7.57,31.77,43.72,4.21,34.25,41.2,6.18,35.37,38.34,4.7,8.4,80.0,5.0,,
9.13,28.72,2023-09-07 18:00:00+00:00,55.23,9.74,28.48,56.5,4.56,31.4,48.67,6.47,33.08,44.05,10.2,8.5,90.0,4.0,,
10.91,25.37,2023-09-07 19:00:00+00:00,64.54,11.48,25.33,64.78,5.77,27.36,59.23,8.66,27.18,59.42,17.3,9.4,90.0,3.0,,
14.02,23.04,2023-09-07 20:00:00+00:00,71.74,14.16,23.07,71.78,6.08,25.11,64.77,9.1,24.49,66.75,8.6,9.1,100.0,3.0,,
14.34,22.31,2023-09-07 21:00:00+00:00,72.4,14.82,22.25,72.53,6.89,23.86,68.05,10.61,23.16,70.5,8.7,9.6,100.0,5.0,,
18.4,21.26,2023-09-07 22:00:00+00:00,75.49,18.7,21.2,75.74,7.94,23.09,71.81,11.85,22.76,73.25,9.8,10.0,100.0,3.0,,
18.8,19.78,2023-09-07 23:00:00+00:00,77.52,19.6,19.81,77.85,8.31,22.23,72.85,12.32,21.94,74.09,9.7,10.4,110.0,4.0,,
21.2,18.99,2023-09-08 00:00:00+00:00,81.61,21.49,19.16,81.8,7.77,21.88,71.78,11.59,21.97,71.29,9.7,10.1,100.0,4.0,,
19.0,18.2,2023-09-08 01:00:00+00:00,80.23,19.61,18.33,80.68,8.39,21.23,74.2,12.24,21.38,73.87,11.0,10.4,100.0,3.0,,
20.26,17.18,2023-09-08 02:00:00+00:00,82.72,20.54,17.2,83.19,9.86,20.42,77.37,15.3,20.61,76.74,10.5,11.9,100.0,3.0,,
21.91,16.28,2023-09-08 03:00:00+00:00,84.26,22.38,16.37,85.04,14.33,19.59,79.77,21.02,19.76,79.07,9.2,15.8,110.0,4.0,,
24.83,15.73,2023-09-08 04:00:00+00:00,84.63,24.73,15.8,85.09,14.87,18.92,82.06,20.57,19.14,81.37,11.6,15.2,110.0,4.0,,
27.23,15.27,2023-09-08 05:00:00+00:00,85.6,28.1,15.35,86.17,15.43,18.37,84.12,22.06,18.74,82.92,12.9,15.5,120.0,4.0,,
32.16,16.42,2023-09-08 06:00:00+00:00,85.83,33.43,16.35,86.82,16.55,18.37,84.81,22.68,18.9,83.28,12.8,15.8,130.0,4.0,,
27.88,23.02,2023-09-08 07:00:00+00:00,69.25,31.25,21.84,74.45,16.42,20.76,77.01,23.77,20.87,76.4,20.7,17.6,150.0,3.0,,
25.45,27.81,2023-09-08 08:00:00+00:00,53.48,28.36,27.17,56.82,16.11,25.66,61.55,23.58,26.4,57.71,22.4,21.1,170.0,2.0,,
25.27,32.02,2023-09-08 09:00:00+00:00,44.92,26.98,32.12,46.29,14.26,32.99,43.71,22.3,31.77,44.58,25.9,22.0,210.0,2.0,,
22.54,35.03,2023-09-08 10:00:00+00:00,39.95,24.52,35.24,41.01,15.81,38.86,33.76,25.4,34.88,39.58,22.9,27.1,230.0,3.0,,
22.26,37.05,2023-09-08 11:00:00+00:00,36.82,24.05,37.46,37.29,12.08,43.76,27.81,20.64,39.62,32.38,19.6,24.3,250.0,3.0,,
27.77,38.55,2023-09-08 12:00:00+00:00,34.22,30.74,38.07,35.93,10.62,43.52,27.32,16.34,39.84,31.44,21.8,23.0,280.0,2.0,,
18.81,38.71,2023-09-08 13:00:00+00:00,32.29,20.42,38.59,33.24,9.91,42.23,28.97,15.61,40.9,30.01,26.7,20.0,300.0,2.0,,
9.24,37.94,2023-09-08 14:00:00+00:00,31.06,10.55,38.84,30.75,10.44,37.19,36.54,13.97,41.05,30.33,21.1,18.6,340.0,2.0,,
9.47,38.2,2023-09-08 15:00:00+00:00,32.04,10.66,38.0,32.78,5.98,37.98,33.63,8.29,40.67,29.15,14.0,13.4,360.0,2.0,,
6.57,37.7,2023-09-08 16:00:00+00:00,32.43,7.13,36.82,34.2,4.6,37.37,33.41,6.48,38.62,30.98,9.1,9.8,350.0,2.0,,
8.46,32.61,2023-09-08 17:00:00+00:00,41.16,9.12,32.08,42.68,4.79,34.59,38.46,7.23,35.11,36.75,9.1,10.1,360.0,2.0,,
12.89,28.22,2023-09-08 18:00:00+00:00,50.51,13.98,27.64,52.5,6.58,30.59,48.99,9.32,30.82,47.55,8.7,11.2,300.0,2.0,,
31.14,23.8,2023-09-08 19:00:00+00:00,62.09,33.27,23.71,62.07,8.16,27.37,60.33,12.16,26.88,61.29,17.0,13.2,350.0,2.0,,
126.03,21.37,2023-09-08 20:00:00+00:00,77.5,128.29,21.43,77.76,11.54,25.18,68.04,18.09,24.38,70.78,66.3,16.1,340.0,2.0,,
151.25,20.32,2023-09-08 21:00:00+00:00,81.22,151.12,20.46,82.13,25.22,23.61,70.68,38.42,22.76,74.03,63.5,26.7,330.0,2.0,,
159.54,19.59,2023-09-08 22:00:00+00:00,82.47,169.33,19.63,83.25,55.42,22.28,76.43,83.58,21.68,79.69,67.8,53.5,20.0,2.0,,
142.94,18.68,2023-09-08 23:00:00+00:00,82.77,149.79,18.79,83.3,75.44,21.63,78.67,112.54,21.13,81.77,63.6,67.4,270.0,2.0,,
125.56,18.07,2023-09-09 00:00:00+00:00,84.74,130.74,18.11,84.93,81.18,20.96,81.57,118.15,20.58,84.06,42.5,70.5,290.0,3.0,,
173.84,17.81,2023-09-09 01:00:00+00:00,86.77,183.22,17.89,88.17,96.27,20.37,83.48,138.56,20.1,86.24,55.7,78.4,300.0,3.0,,
187.5,18.23,2023-09-09 02:00:00+00:00,88.64,193.03,18.26,89.29,116.68,19.78,85.09,162.25,19.62,86.92,56.6,89.0,300.0,2.0,,
167.12,18.07,2023-09-09 03:00:00+00:00,88.61,179.88,18.14,89.89,111.43,19.22,86.63,152.18,19.2,88.18,54.3,83.9,300.0,3.0,,
151.38,17.31,2023-09-09 04:00:00+00:00,87.62,155.96,17.42,88.18,90.96,18.58,87.63,125.01,18.68,88.83,54.9,65.0,300.0,1.0,,
117.42,16.23,2023-09-09 05:00:00+00:00,87.41,121.34,16.27,87.56,104.16,18.02,89.76,138.23,18.27,90.08,40.5,67.8,270.0,1.0,,
99.54,16.53,2023-09-09 06:00:00+00:00,87.68,104.81,16.5,88.29,99.22,17.95,90.36,128.0,18.43,89.89,26.1,67.3,210.0,2.0,,
73.12,22.58,2023-09-09 07:00:00+00:00,77.64,84.83,21.65,81.73,108.76,20.31,86.91,145.55,20.46,87.13,45.6,75.7,220.0,2.0,,
30.74,29.26,2023-09-09 08:00:00+00:00,57.1,35.07,27.9,61.07,68.53,23.97,74.21,93.69,24.04,74.5,18.7,66.1,220.0,2.0,,
17.04,32.77,2023-09-09 09:00:00+00:00,42.01,18.12,32.26,44.66,38.38,29.26,56.37,58.15,27.77,60.35,16.7,49.6,280.0,1.0,,
10.2,34.74,2023-09-09 10:00:00+00:00,34.96,11.16,34.73,35.82,16.19,37.42,36.4,25.67,33.5,42.14,11.7,29.4,230.0,2.0,,
10.51,36.4,2023-09-09 11:00:00+00:00,31.27,11.36,35.6,33.61,8.1,39.19,30.73,12.96,35.56,35.39,20.0,17.4,240.0,1.0,,
8.27,37.61,2023-09-09 12:00:00+00:00,28.79,9.51,36.57,31.26,5.78,40.29,28.12,9.49,37.69,30.79,16.7,13.2,260.0,1.0,,
9.5,37.14,2023-09-09 13:00:00+00:00,30.39,10.83,35.54,33.44,6.09,40.8,27.53,9.32,39.67,28.37,7.6,14.3,260.0,1.0,,
9.55,37.09,2023-09-09 14:00:00+00:00,31.18,10.85,35.33,34.31,6.87,36.1,34.5,9.9,40.69,26.91,9.7,15.1,280.0,1.0,,
10.48,35.54,2023-09-09 15:00:00+00:00,33.82,11.98,33.43,38.16,6.83,37.39,33.13,9.18,40.92,27.63,19.8,15.4,320.0,1.0,,
10.37,33.68,2023-09-09 16:00:00+00:00,37.82,11.58,31.84,42.17,6.25,37.77,33.56,9.17,38.84,31.19,12.1,15.6,350.0,2.0,,
11.78,30.66,2023-09-09 17:00:00+00:00,44.65,12.73,30.1,46.81,7.32,33.87,41.04,11.43,34.54,39.35,8.7,15.1,10.0,3.0,,
13.73,27.74,2023-09-09 18:00:00+00:00,53.75,15.52,27.26,56.14,14.01,30.25,52.07,21.22,30.2,51.81,7.7,21.8,30.0,4.0,,
21.24,24.39,2023-09-09 19:00:00+00:00,64.42,22.94,24.29,65.08,19.27,27.08,62.12,28.41,26.55,63.36,11.8,25.6,50.0,2.0,,
28.56,21.95,2023-09-09 20:00:00+00:00,72.77,30.02,22.03,72.68,17.25,25.5,66.17,26.7,24.88,67.83,21.3,24.6,90.0,3.0,,
36.3,20.89,2023-09-09 21:00:00+00:00,76.74,39.67,21.01,76.79,20.78,24.62,68.75,30.77,23.99,71.36,19.0,26.7,80.0,3.0,,
59.66,20.36,2023-09-09 22:00:00+00:00,79.77,63.25,20.51,80.65,19.58,23.75,73.89,28.5,23.34,75.48,39.3,23.1,100.0,3.0,,
68.2,19.84,2023-09-09 23:00:00+00:00,80.64,69.82,19.93,81.36,24.23,23.18,76.66,35.62,22.92,77.66,24.8,24.9,100.0,3.0,,
86.76,19.39,2023-09-10 00:00:00+00:00,84.3,89.0,19.46,85.59,29.78,22.64,79.53,43.12,22.59,80.22,32.6,28.7,100.0,1.0,,
86.84,19.18,2023-09-10 01:00:00+00:00,83.54,89.17,19.26,84.52,34.65,22.19,81.88,47.57,22.32,81.49,26.0,29.9,90.0,3.0,,
88.72,18.82,2023-09-10 02:00:00+00:00,84.23,92.18,18.96,85.44,37.61,21.77,83.8,51.51,21.96,83.18,29.0,30.2,100.0,3.0,,
107.53,19.51,2023-09-10 03:00:00+00:00,89.11,111.42,19.57,90.7,40.06,21.47,84.88,53.83,21.8,83.48,40.0,31.6,100.0,3.0,,
93.19,19.97,2023-09-10 04:00:00+00:00,88.27,95.82,20.01,89.49,37.73,21.19,85.36,48.81,21.55,83.88,21.3,29.3,100.0,4.0,,
84.65,19.94,2023-09-10 05:00:00+00:00,87.76,88.37,19.94,89.15,38.17,20.92,86.43,49.64,21.25,85.09,19.7,28.5,100.0,4.0,,
85.37,20.3,2023-09-10 06:00:00+00:00,86.38,89.32,20.26,88.01,31.68,20.96,83.72,41.51,21.43,81.84,19.8,26.5,110.0,4.0,,
47.64,24.03,2023-09-10 07:00:00+00:00,73.05,52.96,23.37,76.76,23.73,22.8,75.98,33.13,22.91,75.35,20.8,23.9,110.0,4.0,,
29.29,28.09,2023-09-10 08:00:00+00:00,58.46,33.57,27.2,63.05,18.09,26.39,64.7,25.78,26.83,62.66,22.8,22.0,120.0,5.0,,
30.79,31.19,2023-09-10 09:00:00+00:00,49.87,33.9,30.6,52.25,18.26,31.41,49.7,29.08,30.26,51.5,30.6,27.7,120.0,4.0,,
21.7,33.32,2023-09-10 10:00:00+00:00,43.81,23.31,33.39,44.52,13.85,36.97,37.87,23.48,33.51,43.76,22.7,26.7,120.0,4.0,,
16.45,34.53,2023-09-10 11:00:00+00:00,41.69,17.85,34.86,42.09,10.53,39.9,33.33,17.84,36.45,38.27,16.4,23.8,150.0,3.0,,
14.88,36.58,2023-09-10 12:00:00+00:00,39.0,16.22,36.81,39.61,6.5,43.57,28.3,10.26,40.86,31.12,18.2,18.6,210.0,3.0,,
9.28,38.17,2023-09-10 13:00:00+00:00,33.61,10.08,38.43,34.24,6.07,42.61,28.57,8.67,41.41,29.53,17.0,16.6,200.0,5.0,,
7.66,37.06,2023-09-10 14:00:00+00:00,30.18,6.75,38.09,29.29,5.89,37.4,34.79,7.91,40.74,29.26,14.7,15.8,210.0,6.0,,
6.2,36.16,2023-09-10 15:00:00+00:00,31.86,7.44,37.05,31.44,3.96,37.74,31.65,5.22,39.76,28.5,11.7,12.0,200.0,6.0,,
